KOs	colours
K03327	yellow,black
K03327	yellow,black
K00799	yellow,black
K00799	yellow,black
K00799	yellow,black
K00799	yellow,black
K00799	yellow,black
K00799	yellow,black
K00799	yellow,black
K03723	yellow,black
K08676	yellow,black
K08676	yellow,black
K08676	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K02004	yellow,black
K03685	yellow,black
K02996	red,black
K07226	yellow,black
K07226	yellow,black
K02362	yellow,black
K02362	yellow,black
K00574	yellow,black
K10822	yellow,black
K02003	yellow,black
K02003	yellow,black
K02003	yellow,black
K02003	yellow,black
K02003	yellow,black
K02003	yellow,black
K02003	yellow,black
K02003	yellow,black
K02003	yellow,black
K02003	yellow,black
K02003	yellow,black
K02003	yellow,black
K02003	yellow,black
K11719	yellow,black
K01278	yellow,black
K01669	yellow,black
K17382	yellow,black
K17382	yellow,black
K01286	yellow,black
K01286	yellow,black
K01286	yellow,black
K01286	red,black
K01286	yellow,black
K01286	yellow,black
K07393	yellow,black
K07393	yellow,black
K05590	yellow,black
K01975	yellow,black
K01975	yellow,black
K06954	yellow,black
K03596	yellow,black
K06957	yellow,black
K03595	yellow,black
K02477	yellow,black
K02477	yellow,black
K02477	yellow,black
K02477	yellow,black
K11621	yellow,black
K07084	yellow,black
K03584	yellow,black
K02314	yellow,black
K00265	yellow,black
K09889	yellow,black
K07126	yellow,black
K07126	yellow,black
K07126	yellow,black
K07126	yellow,black
K00266	yellow,black
K03592	yellow,black
K06213	yellow,black
K09861	yellow,black
K02483	yellow,black
K02483	yellow,black
K02483	yellow,black
K02483	yellow,black
K02483	yellow,black
K02483	yellow,black
K01175	yellow,black
K07263	red,black
K07263	yellow,black
K07263	yellow,black
K06169	yellow,black
K06169	yellow,black
K02441	yellow,black
K02482	yellow,black
K02482	yellow,black
K02482	yellow,black
K02482	yellow,black
K11211	yellow,black
K09890	yellow,black
K13598	yellow,black
K13598	yellow,black
K13598	yellow,black
K09891	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
K03406	yellow,black
